Rank,AllPos,AllNeg,TopPos,TopNeg,PropAllPos,PropTopPos,Movie,Release,Rev_10M,year,AllFresh
1,238,48,38,3,0.8322,0.9268,Avatar (Fox),18-Dec-09,76.05,2009,1
2,145,21,36,8,0.8735,0.8182,Titanic (Paramount),19-Dec-97,65.87,1997,1
3,268,22,38,7,0.9241,0.8444,Marvel's The Avengers (Disney),4-May-12,62.34,2012,1
4,268,18,42,4,0.9371,0.913,The Dark Knight (Warner Bros.),18-Jul-08,53.49,2008,1
5,107,81,19,31,0.5691,0.38,Star Wars: Episode I - The Phantom Menace (Fox),19-May-99,47.45,1999,0
6,63,4,15,2,0.9403,0.8824,Star Wars (Fox),25-May-77,46.1,1977,1
7,256,39,34,11,0.8678,0.7556,The Dark Knight Rises (Warner Bros.),20-Jul-12,44.81,2012,1
8,185,23,36,5,0.8894,0.878,Shrek 2 (DreamWorks),19-May-04,44.12,2004,1
9,92,2,17,1,0.9787,0.9444,E.T.: The Extra-Terrestrial (Universal),11-Jun-82,43.51,1982,1
10,119,101,16,25,0.5409,0.3902,Pirates of the Caribbean: Dead Man's Chest (Disney),7-Jul-06,42.33,2006,0
11,84,10,14,1,0.8936,0.9333,The Lion King (Disney),15-Jun-94,42.28,1994,1
12,252,3,41,0,0.9882,1,Toy Story 3 (Disney),18-Jun-10,41.5,2010,1
13,225,41,32,9,0.8459,0.7805,The Hunger Games (Lionsgate),23-Mar-12,40.8,2012,1
14,193,23,31,6,0.8935,0.8378,Spider-Man (Sony / Columbia),3-May-02,40.37,2002,1
15,49,190,7,34,0.205,0.1707,Transformers: Revenge of the Fallen (Paramount / DreamWorks),24-Jun-09,40.21,2009,0
16,267,10,43,0,0.9639,1,Harry Potter and the Deathly Hallows: Part 2 (Warner Bros.),15-Jul-11,38.1,2011,1
17,203,51,30,14,0.7992,0.6818,Star Wars: Episode III - Revenge of the Sith (Fox),19-May-05,38.03,2005,1
18,223,2,45,0,0.9911,1,Finding Nemo (Disney),30-May-03,38.02,2003,1
19,230,14,43,1,0.9426,0.9773,The Lord of the Rings: The Return of the King (New Line),17-Dec-03,37.7,2003,1
20,226,16,43,2,0.9339,0.9556,Spider-Man 2 (Sony / Columbia),30-Jun-04,37.35,2004,1
21,131,135,18,31,0.4925,0.3673,The Passion of the Christ (Newmarket),25-Feb-04,37.08,2004,0
22,44,5,9,1,0.898,0.9,Jurassic Park (Universal),11-Jun-93,35.71,1993,1
23,85,154,10,31,0.3556,0.2439,Transformers: Dark of the Moon (Paramount / DreamWorks),28-Jun-11,35.24,2011,0
